"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-7-22","27.17","25.73","27.17","25.72","270.62M","10.00%"
"2025-7-21","24.70","23.88","24.70","23.04","179.08M","10.02%"
"2025-7-18","22.45","22.45","22.57","22.31","16.39M","0.45%"
"2025-7-17","22.35","22.28","22.42","22.22","20.33M","0.09%"
"2025-7-16","22.33","22.60","22.73","22.06","43.50M","-1.19%"
"2025-7-15","22.60","23.22","23.36","22.55","39.92M","-2.46%"
"2025-7-14","23.17","22.75","23.31","22.71","43.83M","2.52%"
"2025-7-11","22.60","22.69","22.84","22.58","25.58M","-0.22%"
"2025-7-10","22.65","22.43","22.93","22.35","32.41M","1.03%"
"2025-7-9","22.42","22.45","22.75","22.38","27.14M","0.18%"
"2025-7-8","22.38","22.27","22.64","22.17","20.68M","0.49%"
"2025-7-7","22.27","22.17","22.40","22.16","18.18M","0.50%"
"2025-7-4","22.16","22.28","22.40","22.10","20.39M","-0.54%"
"2025-7-3","22.28","22.18","22.46","22.10","30.96M","0.68%"
"2025-7-2","22.13","21.43","22.16","21.41","37.23M","3.27%"
"2025-7-1","21.43","21.47","21.50","21.36","11.42M","-0.19%"
"2025-6-30","21.47","21.44","21.54","21.34","14.26M","0.14%"
"2025-6-27","21.44","21.63","21.63","21.35","19.59M","-3.16%"
"2025-6-26","22.14","22.13","22.30","22.00","22.20M","0.23%"
"2025-6-25","22.09","21.98","22.13","21.90","16.99M","0.55%"
"2025-6-24","21.97","21.62","21.99","21.60","18.53M","1.81%"
"2025-6-23","21.58","21.64","21.69","21.49","18.33M","-0.51%"
"2025-6-20","21.69","21.80","21.99","21.68","15.51M","-0.28%"
"2025-6-19","21.75","22.04","22.10","21.69","23.49M","-1.36%"
"2025-6-18","22.05","22.24","22.29","22.04","15.43M","-0.85%"
"2025-6-17","22.24","22.23","22.30","22.11","17.74M","0.32%"
"2025-6-16","22.17","22.30","22.41","22.13","19.70M","-0.81%"
"2025-6-13","22.35","22.51","22.61","22.34","21.53M","-0.84%"
"2025-6-12","22.54","22.72","22.74","22.51","21.31M","-0.97%"
"2025-6-11","22.76","22.75","22.88","22.71","15.95M","0.18%"
"2025-6-10","22.72","22.84","22.94","22.67","17.71M","-0.44%"
"2025-6-9","22.82","22.85","22.94","22.81","16.19M","-0.44%"
"2025-6-6","22.92","22.85","23.03","22.80","12.95M","0.53%"
"2025-6-5","22.80","23.03","23.14","22.73","19.39M","-1.00%"
"2025-6-4","23.03","22.80","23.16","22.79","18.87M","1.10%"
"2025-6-3","22.78","23.21","23.30","22.75","31.33M","-1.94%"
"2025-5-30","23.23","23.08","23.35","23.05","14.62M","0.48%"
"2025-5-29","23.12","23.10","23.19","23.05","12.39M","0.09%"
"2025-5-28","23.10","23.11","23.16","23.03","7.21M","0.00%"
"2025-5-27","23.10","23.11","23.21","23.04","9.62M","0.00%"
"2025-5-26","23.10","23.54","23.60","23.03","19.51M","-2.16%"
"2025-5-23","23.61","23.71","23.92","23.61","13.14M","-0.63%"
"2025-5-22","23.76","23.71","23.83","23.58","9.11M","-0.04%"
"2025-5-21","23.77","23.47","23.83","23.46","16.68M","1.32%"
"2025-5-20","23.46","23.54","23.59","23.37","14.44M","-0.09%"
"2025-5-19","23.48","23.50","23.66","23.45","13.62M","-0.21%"
"2025-5-16","23.53","23.87","23.93","23.41","20.66M","-1.26%"
"2025-5-15","23.83","24.00","24.13","23.83","13.90M","-0.96%"
"2025-5-14","24.06","23.86","24.08","23.80","14.71M","0.67%"
"2025-5-13","23.90","23.84","24.06","23.80","19.04M","0.59%"
"2025-5-12","23.76","24.00","24.00","23.73","23.59M","-1.00%"
"2025-5-9","24.00","23.93","24.06","23.71","17.44M","0.29%"
"2025-5-8","23.93","24.02","24.11","23.85","14.98M","-0.71%"
"2025-5-7","24.10","24.29","24.39","24.00","18.24M","0.33%"
"2025-5-6","24.02","24.11","24.21","23.93","14.70M","-0.25%"
"2025-4-30","24.08","24.47","24.50","23.96","14.98M","-1.43%"
"2025-4-29","24.43","24.55","24.61","24.32","8.29M","-0.45%"
"2025-4-28","24.54","24.60","24.81","24.45","8.40M","-0.12%"
"2025-4-25","24.57","24.98","25.04","24.57","13.82M","-1.29%"
"2025-4-24","24.89","24.90","25.17","24.85","10.10M","0.04%"
"2025-4-23","24.88","25.08","25.14","24.77","11.18M","-0.88%"
"2025-4-22","25.10","24.99","25.26","24.77","12.80M","0.88%"
"2025-4-21","24.88","25.08","25.15","24.75","12.88M","-0.92%"
"2025-4-18","25.11","25.19","25.43","25.01","12.57M","-0.83%"
"2025-4-17","25.32","25.38","25.53","25.15","12.94M","-0.71%"
"2025-4-16","25.50","25.33","25.50","24.98","18.14M","0.47%"
"2025-4-15","25.38","25.10","25.38","24.87","17.60M","0.83%"
"2025-4-14","25.17","25.35","25.55","25.09","21.29M","-1.60%"
"2025-4-11","25.58","25.80","25.81","25.08","22.30M","-0.47%"
"2025-4-10","25.70","25.98","25.98","25.10","29.34M","0.78%"
"2025-4-9","25.50","24.71","25.50","24.26","41.95M","2.74%"
"2025-4-8","24.82","23.99","24.86","23.87","46.12M","4.95%"
"2025-4-7","23.65","23.40","23.94","22.91","43.29M","-2.11%"
"2025-4-3","24.16","24.01","24.74","23.97","23.34M","0.37%"
"2025-4-2","24.07","24.20","24.34","24.07","11.08M","-0.54%"
"2025-4-1","24.20","24.27","24.48","24.10","14.32M","-0.37%"
"2025-3-31","24.29","24.82","25.05","24.19","18.20M","-1.26%"
"2025-3-28","24.60","24.86","24.86","24.35","10.76M","-0.65%"
"2025-3-27","24.76","24.70","24.99","24.50","14.16M","0.61%"
"2025-3-26","24.61","24.37","24.67","24.11","12.88M","1.32%"
"2025-3-25","24.29","24.60","24.68","23.90","27.51M","-1.86%"
"2025-3-24","24.75","24.87","25.08","24.66","16.50M","-0.68%"
"2025-3-21","24.92","24.67","25.36","24.61","22.22M","1.01%"
"2025-3-20","24.67","24.90","24.90","24.59","10.53M","-0.68%"
"2025-3-19","24.84","24.96","25.07","24.65","12.08M","-0.12%"
"2025-3-18","24.87","25.17","25.23","24.85","13.95M","-1.50%"
"2025-3-17","25.25","24.43","25.34","24.42","30.34M","3.65%"
"2025-3-14","24.36","24.17","24.43","24.08","14.65M","0.74%"
"2025-3-13","24.18","23.90","24.30","23.90","13.01M","1.21%"
"2025-3-12","23.89","24.20","24.20","23.83","11.87M","-1.28%"
"2025-3-11","24.20","23.90","24.20","23.79","13.17M","0.17%"
"2025-3-10","24.16","24.20","24.34","23.83","15.79M","0.29%"
"2025-3-7","24.09","23.92","24.14","23.81","14.04M","0.54%"
"2025-3-6","23.96","24.13","24.15","23.76","18.39M","-0.21%"
"2025-3-5","24.01","23.32","24.19","23.16","40.27M","3.49%"
"2025-3-4","23.20","23.30","23.30","23.00","13.10M","-0.47%"
"2025-3-3","23.31","23.29","23.57","23.19","15.83M","0.21%"
"2025-2-28","23.26","23.15","23.50","23.05","25.19M","0.87%"
"2025-2-27","23.06","22.67","23.30","22.67","23.64M","1.77%"
"2025-2-26","22.66","22.45","22.80","22.45","14.83M","0.76%"
"2025-2-25","22.49","22.60","22.90","22.44","18.79M","-0.75%"
"2025-2-24","22.66","22.60","22.89","22.47","20.81M","-0.04%"
"2025-2-21","22.67","23.04","23.13","22.61","24.95M","-1.90%"
