"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-8-13","51.25","51.20","51.34","51.12","1.08M","0.12%"
"2025-8-12","51.19","51.18","51.29","51.01","1.32M","0.04%"
"2025-8-11","51.17","51.30","51.39","51.00","1.69M","-0.37%"
"2025-8-8","51.36","51.11","51.48","51.11","924.75K","0.16%"
"2025-8-7","51.28","51.25","51.34","51.02","1.15M","0.10%"
"2025-8-6","51.23","51.50","51.69","51.20","1.28M","-0.33%"
"2025-8-5","51.40","51.54","51.79","51.40","1.21M","-0.21%"
"2025-8-4","51.51","51.62","51.85","51.43","1.05M","-0.66%"
"2025-8-1","51.85","51.71","52.08","51.65","891.78K","-0.12%"
"2025-7-31","51.91","51.80","52.14","51.53","2.27M","0.08%"
"2025-7-30","51.87","51.20","52.15","51.19","2.05M","1.29%"
"2025-7-29","51.21","51.60","51.62","51.12","1.40M","-0.91%"
"2025-7-28","51.68","51.68","51.96","51.51","1.57M","-0.06%"
"2025-7-25","51.71","51.83","52.32","51.65","2.07M","-0.25%"
"2025-7-24","51.84","52.82","52.91","50.19","5.41M","-3.01%"
"2025-7-23","53.45","52.99","53.54","52.81","2.05M","0.96%"
"2025-7-22","52.94","52.99","53.14","52.68","1.76M","-0.02%"
"2025-7-21","52.95","53.18","53.23","52.53","1.12M","-0.43%"
"2025-7-18","53.18","53.26","53.58","53.09","699.60K","0.00%"
"2025-7-17","53.18","52.78","53.30","52.64","1.59M","0.76%"
"2025-7-16","52.78","52.75","53.18","52.46","1.08M","0.08%"
"2025-7-15","52.74","52.45","52.95","52.31","1.86M","0.65%"
"2025-7-14","52.40","52.08","52.69","51.90","2.99M","0.67%"
"2025-7-11","52.05","52.03","52.20","51.86","1.41M","0.10%"
"2025-7-10","52.00","52.32","52.39","51.83","1.36M","-0.57%"
"2025-7-9","52.30","51.90","52.59","51.71","2.50M","0.91%"
"2025-7-8","51.83","52.15","52.30","51.68","2.25M","-0.61%"
"2025-7-7","52.15","52.48","52.50","52.15","832.70K","-0.57%"
"2025-7-4","52.45","52.42","52.64","52.23","1.02M","0.06%"
"2025-7-3","52.42","52.48","52.84","52.31","1.14M","-0.10%"
"2025-7-2","52.47","52.88","53.09","52.41","1.24M","-0.76%"
"2025-7-1","52.87","52.55","52.90","52.23","1.20M","0.92%"
"2025-6-30","52.39","52.24","52.77","52.20","1.66M","0.17%"
"2025-6-27","52.30","52.00","52.45","51.85","1.70M","0.67%"
"2025-6-26","51.95","52.12","52.49","51.86","2.50M","-0.29%"
"2025-6-25","52.10","52.08","52.28","51.88","1.99M","-0.12%"
"2025-6-24","52.16","51.81","52.19","51.68","1.72M","0.79%"
"2025-6-23","51.75","52.79","52.80","51.52","2.10M","-2.27%"
"2025-6-20","52.95","53.14","53.48","52.86","1.27M","-0.26%"
"2025-6-19","53.09","52.80","53.36","52.62","1.47M","0.44%"
"2025-6-18","52.86","52.28","52.90","52.01","1.42M","1.07%"
"2025-6-17","52.30","52.45","52.96","52.10","1.60M","-0.23%"
"2025-6-16","52.42","52.82","52.82","52.22","1.88M","-0.76%"
"2025-6-13","52.82","53.39","53.47","52.65","1.61M","-1.20%"
"2025-6-12","53.46","53.66","53.80","53.08","1.46M","-0.74%"
"2025-6-11","53.86","54.30","54.34","53.49","2.16M","-0.81%"
"2025-6-10","54.30","54.54","54.73","54.13","1.85M","-0.57%"
"2025-6-9","54.61","55.54","55.64","54.21","1.35M","-1.21%"
"2025-6-6","55.28","55.63","55.85","55.14","687.52K","-0.36%"
"2025-6-5","55.48","54.82","55.52","54.70","1.15M","1.35%"
"2025-6-4","54.74","54.12","54.96","54.05","1.05M","1.22%"
"2025-6-3","54.08","54.29","54.34","53.47","1.75M","-0.42%"
"2025-5-30","54.31","53.91","54.73","53.85","1.54M","0.76%"
"2025-5-29","53.90","54.73","54.96","53.66","1.91M","-1.52%"
"2025-5-28","54.73","54.80","55.15","54.49","1.28M","-0.13%"
"2025-5-27","54.80","55.79","55.87","54.76","2.32M","-6.76%"
"2025-5-26","58.77","58.93","59.59","57.83","2.18M","-0.76%"
"2025-5-23","59.22","58.89","59.56","58.89","1.82M","0.51%"
"2025-5-22","58.92","58.87","59.05","58.18","1.24M","0.58%"
"2025-5-21","58.58","58.50","59.20","58.50","1.47M","0.07%"
"2025-5-20","58.54","57.33","58.77","57.17","1.74M","2.16%"
"2025-5-19","57.30","56.19","57.41","56.19","1.87M","2.63%"
"2025-5-16","55.83","56.22","56.26","55.81","887.88K","-0.83%"
"2025-5-15","56.30","56.36","56.70","56.13","1.19M","-0.11%"
"2025-5-14","56.36","56.90","56.90","56.01","1.17M","-0.65%"
"2025-5-13","56.73","57.19","57.48","56.46","1.14M","-0.47%"
"2025-5-12","57.00","56.80","57.18","56.21","1.54M","0.18%"
"2025-5-9","56.90","56.56","57.04","56.31","1.39M","0.94%"
"2025-5-8","56.37","55.40","57.00","55.21","1.96M","1.93%"
"2025-5-7","55.30","55.35","55.40","55.06","1.14M","0.36%"
"2025-5-6","55.10","56.21","56.56","54.80","2.71M","-1.97%"
"2025-4-30","56.21","55.89","56.50","55.57","1.40M","0.83%"
"2025-4-29","55.75","55.18","55.92","55.16","1.13M","1.05%"
"2025-4-28","55.17","55.59","56.00","55.14","1.22M","-0.50%"
"2025-4-25","55.45","56.49","56.49","55.18","1.93M","-0.34%"
"2025-4-24","55.64","55.67","56.47","55.61","1.12M","-0.09%"
"2025-4-23","55.69","56.20","56.54","55.61","1.62M","-0.91%"
"2025-4-22","56.20","56.91","57.22","56.20","1.50M","-1.23%"
"2025-4-21","56.90","57.13","57.50","56.78","808.13K","-0.70%"
"2025-4-18","57.30","56.85","57.76","56.75","997.70K","0.47%"
"2025-4-17","57.03","57.00","57.48","56.42","1.67M","-0.59%"
"2025-4-16","57.37","57.07","57.37","56.19","1.56M","0.47%"
"2025-4-15","57.10","56.86","57.33","56.30","1.21M","0.62%"
"2025-4-14","56.75","56.78","57.17","56.14","1.38M","0.55%"
"2025-4-11","56.44","56.20","57.00","56.18","1.20M","-0.67%"
"2025-4-10","56.82","56.15","57.08","55.51","3.01M","1.83%"
"2025-4-9","55.80","56.24","56.60","55.53","2.16M","-1.71%"
"2025-4-8","56.77","56.30","57.23","55.80","2.75M","0.39%"
"2025-4-7","56.55","57.41","58.70","54.50","4.21M","-3.74%"
"2025-4-3","58.75","58.80","59.40","58.60","2.15M","-0.91%"
"2025-4-2","59.29","59.04","60.15","58.88","2.14M","0.85%"
"2025-4-1","58.79","58.38","59.06","58.02","2.81M","0.70%"
"2025-3-31","58.38","58.00","60.18","57.83","5.50M","-0.03%"
"2025-3-28","58.40","55.48","59.16","55.33","8.43M","5.26%"
"2025-3-27","55.48","54.41","56.00","54.41","2.97M","1.76%"
"2025-3-26","54.52","53.84","54.61","53.75","2.62M","1.26%"
"2025-3-25","53.84","52.27","53.86","52.26","4.55M","2.83%"
"2025-3-24","52.36","52.19","52.77","52.06","1.98M","-0.19%"
"2025-3-21","52.46","52.09","52.86","51.90","2.42M","0.71%"
"2025-3-20","52.09","52.86","52.99","52.00","2.20M","-1.64%"
"2025-3-19","52.96","53.22","53.59","52.82","2.09M","-0.47%"
"2025-3-18","53.21","53.55","53.71","52.81","2.63M","-0.49%"
"2025-3-17","53.47","53.36","53.71","52.88","1.75M","0.22%"
"2025-3-14","53.35","52.75","53.56","52.75","1.31M","0.57%"
"2025-3-13","53.05","53.20","53.33","52.96","729.35K","0.00%"
"2025-3-12","53.05","53.40","53.65","52.91","996.05K","-0.41%"
"2025-3-11","53.27","52.50","53.27","52.50","1.15M","0.74%"
"2025-3-10","52.88","52.80","52.96","52.44","1.17M","0.27%"
"2025-3-7","52.74","52.89","53.05","52.51","1.06M","-0.43%"
"2025-3-6","52.97","52.92","53.06","52.56","910.96K","0.13%"
"2025-3-5","52.90","52.55","53.12","52.32","980.05K","0.57%"
"2025-3-4","52.60","52.41","52.75","52.24","1.08M","0.19%"
"2025-3-3","52.50","53.00","53.62","52.22","2.38M","-0.94%"
"2025-2-28","53.00","53.85","53.92","53.00","1.90M","-1.49%"
"2025-2-27","53.80","52.98","54.00","52.82","3.08M","1.55%"
