"日期","收盘","开盘","高","低","涨跌幅"
"2025-8-12","1.855","1.855","1.855","1.855","0.76%"
"2025-8-11","1.841","1.841","1.841","1.841","1.10%"
"2025-8-8","1.821","1.821","1.821","1.806","0.83%"
"2025-8-7","1.806","1.806","1.806","1.802","0.22%"
"2025-8-6","1.802","1.802","1.802","1.796","0.33%"
"2025-8-5","1.796","1.796","1.796","1.796","0.34%"
"2025-8-4","1.790","1.790","1.790","1.775","0.85%"
"2025-8-1","1.775","1.775","1.775","1.773","0.11%"
"2025-7-31","1.773","1.773","1.794","1.773","-1.17%"
"2025-7-30","1.794","1.794","1.794","1.794","-0.83%"
"2025-7-29","1.809","1.809","1.809","1.809","0.28%"
"2025-7-28","1.804","1.804","1.804","1.804","-0.17%"
"2025-7-25","1.807","1.807","1.807","1.803","0.22%"
"2025-7-24","1.803","1.803","1.803","1.803","0.73%"
"2025-7-23","1.790","1.790","1.795","1.790","-0.28%"
"2025-7-22","1.795","1.795","1.795","1.757","2.16%"
"2025-7-21","1.757","1.757","1.757","1.757","1.15%"
"2025-7-18","1.737","1.737","1.737","1.737","-0.17%"
"2025-7-17","1.740","1.740","1.740","1.740","0.87%"
"2025-7-16","1.725","1.725","1.725","1.725","-0.29%"
"2025-7-15","1.730","1.730","1.730","1.730","0.70%"
"2025-7-14","1.718","1.718","1.718","1.703","0.88%"
"2025-7-11","1.703","1.703","1.703","1.703","0.95%"
"2025-7-10","1.687","1.687","1.687","1.687","-0.59%"
"2025-7-9","1.697","1.697","1.697","1.697","-0.59%"
"2025-7-8","1.707","1.707","1.707","1.707","0.47%"
"2025-7-7","1.699","1.699","1.699","1.699","0.30%"
"2025-7-4","1.694","1.694","1.694","1.694","-0.59%"
"2025-7-3","1.704","1.704","1.704","1.704","0.18%"
"2025-7-2","1.701","1.701","1.701","1.701","-0.70%"
"2025-7-1","1.713","1.713","1.713","1.713","0.76%"
"2025-6-30","1.700","1.700","1.700","1.700","1.80%"
"2025-6-27","1.670","1.670","1.671","1.670","-0.06%"
"2025-6-26","1.671","1.671","1.671","1.671","-0.24%"
"2025-6-25","1.675","1.675","1.675","1.675","0.96%"
"2025-6-24","1.659","1.659","1.659","1.659","1.78%"
"2025-6-23","1.630","1.630","1.630","1.630","0.56%"
"2025-6-20","1.621","1.621","1.621","1.621","-0.18%"
"2025-6-19","1.624","1.624","1.624","1.624","-1.58%"
"2025-6-18","1.650","1.650","1.650","1.649","0.06%"
"2025-6-17","1.649","1.649","1.649","1.649","0.06%"
"2025-6-16","1.648","1.648","1.648","1.643","0.30%"
"2025-6-13","1.643","1.643","1.658","1.643","-0.90%"
"2025-6-12","1.658","1.658","1.658","1.650","0.48%"
"2025-6-11","1.650","1.650","1.650","1.650","0.30%"
"2025-6-10","1.645","1.645","1.645","1.645","-0.36%"
"2025-6-9","1.651","1.651","1.651","1.635","0.98%"
"2025-6-6","1.635","1.635","1.637","1.635","-0.12%"
"2025-6-5","1.637","1.637","1.637","1.637","-0.12%"
"2025-6-4","1.639","1.639","1.639","1.639","0.37%"
"2025-6-3","1.633","1.633","1.633","1.633","1.11%"
"2025-5-30","1.615","1.615","1.615","1.615","-1.22%"
"2025-5-29","1.635","1.635","1.635","1.624","0.68%"
"2025-5-28","1.624","1.624","1.624","1.624","0.81%"
"2025-5-27","1.611","1.611","1.611","1.611","-0.31%"
"2025-5-26","1.616","1.616","1.616","1.616","0.56%"
"2025-5-23","1.607","1.607","1.615","1.607","-0.50%"
"2025-5-22","1.615","1.615","1.633","1.615","-1.10%"
"2025-5-21","1.633","1.633","1.634","1.633","-0.06%"
"2025-5-20","1.634","1.634","1.634","1.634","0.99%"
"2025-5-19","1.618","1.618","1.618","1.613","0.31%"
"2025-5-16","1.613","1.613","1.613","1.613","0.56%"
"2025-5-15","1.604","1.604","1.620","1.604","-0.99%"
"2025-5-14","1.620","1.620","1.620","1.620","0.25%"
"2025-5-13","1.616","1.616","1.618","1.616","-0.12%"
"2025-5-12","1.618","1.618","1.618","1.595","1.44%"
"2025-5-9","1.595","1.595","1.602","1.595","-0.44%"
"2025-5-8","1.602","1.602","1.602","1.602","0.75%"
"2025-5-7","1.590","1.590","1.590","1.590","0.00%"
"2025-5-6","1.590","1.590","1.590","1.590","1.73%"
"2025-4-30","1.563","1.563","1.575","1.563","-0.76%"
"2025-4-29","1.575","1.575","1.575","1.575","-0.19%"
"2025-4-28","1.578","1.578","1.587","1.578","-0.57%"
"2025-4-25","1.587","1.587","1.587","1.587","-0.69%"
"2025-4-24","1.598","1.598","1.598","1.598","0.19%"
"2025-4-23","1.595","1.595","1.595","1.586","0.57%"
"2025-4-22","1.586","1.586","1.586","1.576","0.63%"
"2025-4-21","1.576","1.576","1.576","1.576","2.01%"
"2025-4-18","1.545","1.545","1.545","1.545","-0.26%"
"2025-4-17","1.549","1.549","1.549","1.545","0.26%"
"2025-4-16","1.545","1.545","1.559","1.545","-0.90%"
"2025-4-15","1.559","1.559","1.560","1.559","-0.06%"
"2025-4-14","1.560","1.560","1.560","1.560","0.91%"
"2025-4-11","1.546","1.546","1.546","1.546","0.72%"
"2025-4-10","1.535","1.535","1.535","1.535","2.27%"
"2025-4-9","1.501","1.501","1.501","1.501","2.25%"
"2025-4-8","1.468","1.468","1.474","1.468","-0.41%"
"2025-4-7","1.474","1.474","1.474","1.474","-8.73%"
"2025-4-3","1.615","1.615","1.615","1.615","-1.76%"
"2025-4-2","1.644","1.644","1.644","1.644","0.18%"
"2025-4-1","1.641","1.641","1.641","1.641","0.92%"
